grid_size,impl,num_threads,iteration,result
512,omp,2,29,0.085846
512,omp,2,30,0.094657
512,omp,8,1,0.042769
512,omp,8,2,0.042566
512,omp,8,3,0.042652
512,omp,8,4,0.042563
512,omp,8,5,0.042602
512,omp,8,6,0.042640
512,omp,8,7,0.042539
512,omp,8,8,0.043103
512,omp,8,9,0.042567
512,omp,8,10,0.045198
512,omp,8,11,0.042656
512,omp,8,12,0.042657
512,omp,8,13,0.043248
512,omp,8,14,0.043328
512,omp,8,15,0.042629
512,omp,8,16,0.043678
512,omp,8,17,0.043729
512,omp,8,18,0.042794
512,omp,8,19,0.043110
512,omp,8,20,0.044954
512,omp,8,21,0.042831
512,omp,8,22,0.042939
512,omp,8,23,0.057687
512,omp,8,24,0.046560
512,omp,8,25,0.044869
512,omp,8,26,0.043234
512,omp,8,27,0.043405
512,omp,8,28,0.043856
512,omp,8,29,0.043020
512,omp,8,30,0.045683
512,omp,32,1,0.044916
512,omp,32,2,0.044177
512,omp,32,3,0.048668
512,omp,32,4,0.063469
512,omp,32,5,0.041009
512,omp,32,6,0.041569
512,omp,32,7,0.041444
512,omp,32,8,0.039955
512,omp,32,9,0.040316
512,omp,32,10,0.039580
512,omp,32,11,0.039622
512,omp,32,12,0.038084
512,omp,32,13,0.036433
512,omp,32,14,0.037446
512,omp,32,15,0.036674
512,omp,32,16,0.035914
512,omp,32,17,0.036091
512,omp,32,18,0.036388
512,omp,32,19,0.036746
512,omp,32,20,0.036041
512,omp,32,21,0.037045
512,omp,32,22,0.037242
512,omp,32,23,0.036816
512,omp,32,24,0.035957
512,omp,32,25,0.036081
512,omp,32,26,0.036765
512,omp,32,27,0.036375
512,omp,32,28,0.035788
512,omp,32,29,0.036010
512,omp,32,30,0.036830
4096,seq,2,1,10.761540
4096,seq,2,2,10.857138
4096,seq,2,3,10.789564
4096,seq,2,4,10.598046
4096,seq,2,5,10.870978
4096,seq,2,6,10.985548
4096,seq,2,7,11.058422
4096,seq,2,8,10.888971
4096,seq,2,9,10.783181
4096,seq,2,10,10.905830
4096,seq,2,11,10.861129
4096,seq,2,12,10.988639
4096,seq,2,13,11.081100
4096,seq,2,14,10.973359
4096,seq,2,15,10.674982
4096,seq,2,16,10.824580
4096,seq,2,17,10.741252
4096,seq,2,18,10.795591
4096,seq,2,19,10.526584
4096,seq,2,20,10.513355
4096,seq,2,21,10.478637
4096,seq,2,22,10.555289
4096,seq,2,23,10.496270
4096,seq,2,24,10.527115
4096,seq,2,25,10.525057
4096,seq,2,26,10.505837
4096,seq,2,27,10.575583
4096,seq,2,28,10.520724
4096,seq,2,29,10.513220
4096,seq,2,30,10.463841
4096,seq,8,1,10.524114
4096,seq,8,2,10.514883
4096,seq,8,3,10.573727
4096,seq,8,4,10.520267
4096,seq,8,5,10.518056
4096,seq,8,6,10.526482
4096,seq,8,7,10.520762
4096,seq,8,8,10.510111
4096,seq,8,9,10.506878
4096,seq,8,10,10.602340
4096,seq,8,11,10.511570
4096,seq,8,12,10.533100
4096,seq,8,13,10.570916
4096,seq,8,14,10.494742
4096,seq,8,15,10.517657
4096,seq,8,16,10.491634
4096,seq,8,17,10.539309
4096,seq,8,18,10.552018
4096,seq,8,19,10.472787
4096,seq,8,20,10.548450
4096,seq,8,21,10.434443
